Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=50)",0.8605353100448311,0.8476508023019091,0.8908238753848274,0.8511583139932191,0.6442088988483076,0.9233223793875316,0.8866041005221617,0.8476508023019091
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=50)",0.9126015357983044,0.8761681868457752,0.9141332740510199,0.8763329156802339,0.6921716672860863,0.9156701627808582,0.9218894037936161,0.8761681868457752
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=10)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=10)",0.8605353100448311,0.8476828623182597,0.890844342331993,0.8511915349697103,0.6443028697195231,0.923366355496285,0.8865868413819942,0.8476828623182597
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.9124683740956101,0.8757193466168668,0.9138373656660851,0.8758672820077434,0.6909657429581697,0.9152104712508069,0.921620902659564,0.8757193466168668
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=20)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=20)",0.8605353100448311,0.8476828623182597,0.890844342331993,0.8511915349697103,0.6443028697195231,0.923366355496285,0.8865868413819942,0.8476828623182597
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=20)",0.9124683740956101,0.8757193466168668,0.9138373656660851,0.8758672820077434,0.6909657429581697,0.9152104712508069,0.921620902659564,0.8757193466168668
"TreeLearner(binarize=True, max_depth=3, min_samples_leaf=20, min_samples_split=50)",0.8183230502907364,0.8187486975618358,0.8670562368461276,0.824909535695411,0.5958622576070235,0.9219613432350662,0.8649564937851146,0.8187486975618358
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=50)",0.8605353100448311,0.8476828623182597,0.890844342331993,0.8511915349697103,0.6443028697195231,0.923366355496285,0.8865868413819942,0.8476828623182597
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=50)",0.9124683740956101,0.8757193466168668,0.9138373656660851,0.8758672820077434,0.6909657429581697,0.9152104712508069,0.9216205273216237,0.8757193466168668
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9840649829109148,0.7608162480162864,0.8559762936651191,0.7001862827162861,0.30610456885332066,0.7573920024597305,0.8848939039417976,0.7608162480162864
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9903235829375472,0.7537309844028021,0.8531360234018756,0.6822751373798556,0.2768766793086009,0.7493324824934088,0.8849922341555349,0.7537309844028021
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9840649829109148,0.7608162480162864,0.8559762936651191,0.7001862827162861,0.30610456885332066,0.7573920024597305,0.8848939039417976,0.7608162480162864
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9903235829375472,0.7537309844028021,0.8531360234018756,0.6822751373798556,0.2768766793086009,0.7493324824934088,0.8849922341555349,0.7537309844028021
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8980869102046252,0.8360931664075149,0.8878308851761247,0.8344906502589201,0.5842690333246797,0.8778064600099785,0.9158561897165475,0.8360931664075149
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9012827910692884,0.8372152669797862,0.8888645690834474,0.8352678418847453,0.5857322773555749,0.8767839022389188,0.9151835847681202,0.8372152669797862
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8980869102046252,0.8360931664075149,0.8878308851761247,0.8344906502589201,0.5842690333246797,0.8778064600099785,0.9158561897165475,0.8360931664075149
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9012827910692884,0.8372152669797862,0.8888645690834474,0.8352678418847453,0.5857322773555749,0.8767839022389188,0.9151835847681202,0.8372152669797862
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9152869634693063,0.8522033246236955,0.8994569365989836,0.8499366833040486,0.6222426406941066,0.8841651659377412,0.927586486091968,0.8522033246236955
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9149540592125704,0.853117035089688,0.8999836271352945,0.850997852516723,0.6250444511688928,0.8854951994329532,0.9278209486864998,0.853117035089688
"GBClassifier(learning_rate=0.03, n_estimators=50, subsample=0.8, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9152869634693063,0.8522033246236955,0.8994569365989836,0.8499366833040486,0.6222426406941066,0.8841651659377412,0.927586486091968,0.8522033246236955
"GBClassifier(learning_rate=0.03, n_estimators=50, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9149540592125704,0.853117035089688,0.8999836271352945,0.850997852516723,0.6250444511688928,0.8854951994329532,0.9278209486864998,0.853117035089688
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9243641528696347,0.8267637016494879,0.8851626340229739,0.8191616879144481,0.5433003792779717,0.8491508491508492,0.8952588682075121,0.8267637016494879
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9261174486217764,0.8256576310853918,0.8847075285687027,0.8174730731337421,0.5392571480269175,0.8468422761587792,0.8958515095214459,0.8256576310853918
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9243641528696347,0.8267637016494879,0.8851626340229739,0.8191616879144481,0.5433003792779717,0.8491508491508492,0.8952588682075121,0.8267637016494879
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9261174486217764,0.8256576310853918,0.8847075285687027,0.8174730731337421,0.5392571480269175,0.8468422761587792,0.8958515095214459,0.8256576310853918
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9148652847441076,0.8535017552858952,0.9002107378006835,0.8514367799265486,0.6261992926484266,0.8860182697474476,0.9248710819859116,0.8535017552858952
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9155310932575791,0.8536299953512976,0.90035466797621,0.85148774858189,0.6262562896171497,0.8856731863366039,0.9253682510347252,0.8536299953512976
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9148652847441076,0.8535017552858952,0.9002107378006835,0.8514367799265486,0.6261992926484266,0.8860182697474476,0.9248710819859116,0.8535017552858952
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9155310932575791,0.8536299953512976,0.90035466797621,0.85148774858189,0.6262562896171497,0.8856731863366039,0.9253682510347252,0.8536299953512976
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9135558613342802,0.8612442492345671,0.9048603020377657,0.8601262199388184,0.6491310249539343,0.8963287170107134,0.9367599477524462,0.8612442492345671
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9127790847352302,0.8606190789157302,0.9043990720277952,0.8595380115122533,0.6477161593634218,0.8961715294271457,0.9366785737183891,0.8606190789157302
"GBClassifier(learning_rate=0.05, n_estimators=50, subsample=0.8, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9135558613342802,0.8612442492345671,0.9048603020377657,0.8601262199388184,0.6491310249539343,0.8963287170107134,0.9367599477524462,0.8612442492345671
"GBClassifier(learning_rate=0.05, n_estimators=50, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9127790847352302,0.8606190789157302,0.9043990720277952,0.8595380115122533,0.6477161593634218,0.8961715294271457,0.9366785737183891,0.8606190789157302
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9040791868258689,0.8426654697593896,0.8924819525233604,0.8409230311764985,0.6001783689649027,0.8811784810400398,0.909330902475738,0.8426654697593896
"GBClassifier(n_estimators=50, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9051000932131918,0.8428578298574932,0.8927074326616831,0.8409906526034425,0.600185893177675,0.8806495497635449,0.9096377431634212,0.8428578298574932
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9040791868258689,0.8426654697593896,0.8924819525233604,0.8409230311764985,0.6001783689649027,0.8811784810400398,0.909330902475738,0.8426654697593896
"GBClassifier(n_estimators=50, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9051000932131918,0.8428578298574932,0.8927074326616831,0.8409906526034425,0.600185893177675,0.8806495497635449,0.9096377431634212,0.8428578298574932
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9109370145146256,0.8608755590465351,0.9043836552126827,0.8600398739332459,0.6493712037702277,0.8979239132812671,0.9347717423308883,0.8608755590465351
"GBClassifier(n_estimators=50, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9102268187669227,0.8604908388503278,0.9040769764904275,0.8597058606685438,0.6486263257436494,0.8980096779137746,0.9345502654042759,0.8604908388503278
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9109370145146256,0.8608755590465351,0.9043836552126827,0.8600398739332459,0.6493712037702277,0.8979239132812671,0.9347717423308883,0.8608755590465351
"GBClassifier(n_estimators=50, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9102268187669227,0.8604908388503278,0.9040769764904275,0.8597058606685438,0.6486263257436494,0.8980096779137746,0.9345502654042759,0.8604908388503278
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9143548315504461,0.8721927448182999,0.9117747950116741,0.8718992887113276,0.6800101618899443,0.9092092776907289,0.9470200928135146,0.8721927448182999
"GBClassifier(n_estimators=50, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9144214124017932,0.8707500440825224,0.9108735782108394,0.8703394385115426,0.6758740213399939,0.9073531678742099,0.9466358441199757,0.8707500440825224
"GBClassifier(n_estimators=50, subsample=0.8, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9143548315504461,0.8721927448182999,0.9117747950116741,0.8718992887113276,0.6800101618899443,0.9092092776907289,0.9470200928135146,0.8721927448182999
"GBClassifier(n_estimators=50, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9144214124017932,0.8707500440825224,0.9108735782108394,0.8703394385115426,0.6758740213399939,0.9073531678742099,0.9466358441199757,0.8707500440825224
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9152425762350748,0.8340733853774266,0.8884938973812063,0.8294504449301003,0.5691693495264559,0.8632643235435724,0.8988206363105383,0.8340733853774266
"GBClassifier(learning_rate=0.03, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9205468507257313,0.8311719538976965,0.8873438302241999,0.8251162097013613,0.5581239257836106,0.8564526120173446,0.8995182082775851,0.8311719538976965
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9152425762350748,0.8340733853774266,0.8884938973812063,0.8294504449301003,0.5691693495264559,0.8632643235435724,0.8988206363105383,0.8340733853774266
"GBClassifier(learning_rate=0.03, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9205468507257313,0.8311719538976965,0.8873438302241999,0.8251162097013613,0.5581239257836106,0.8564526120173446,0.8995182082775851,0.8311719538976965
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9140219272937103,0.8564673067983265,0.9019513370272224,0.8548271399386194,0.635164870209115,0.8901954003112571,0.9283705696111928,0.8564673067983265
"GBClassifier(learning_rate=0.03, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.914199476230636,0.8551207861116009,0.9011397694209271,0.853318339128576,0.6311947288513006,0.8884479337416962,0.9286210173746239,0.8551207861116009
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9140219272937103,0.8564673067983265,0.9019513370272224,0.8548271399386194,0.635164870209115,0.8901954003112571,0.9283705696111928,0.8564673067983265
"GBClassifier(learning_rate=0.03, min_samples_split=10, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.914199476230636,0.8551207861116009,0.9011397694209271,0.853318339128576,0.6311947288513006,0.8884479337416962,0.9286210173746239,0.8551207861116009
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9133783123973546,0.862767100011221,0.9057895258113149,0.861808789597323,0.6535851839502804,0.898325802719752,0.9394526336649822,0.862767100011221
"GBClassifier(learning_rate=0.03, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9144214124017932,0.8629113700847988,0.9059765161176833,0.8618414285684537,0.653492625290692,0.8976861736894853,0.9396664174448363,0.8629113700847988
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9133783123973546,0.862767100011221,0.9057895258113149,0.861808789597323,0.6535851839502804,0.898325802719752,0.9394526336649822,0.862767100011221
"GBClassifier(learning_rate=0.03, min_samples_split=10, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9144214124017932,0.8629113700847988,0.9059765161176833,0.8618414285684537,0.653492625290692,0.8976861736894853,0.9396664174448363,0.8629113700847988
"GBClassifier(learning_rate=0.05, subsample=0.8, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9051444804474233,0.8429700399147203,0.8927805262466617,0.8411089691123054,0.6004903128326683,0.8807497948430009,0.9091832851382765,0.8429700399147203
"GBClassifier(learning_rate=0.05, min_samples_split=5, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9062763549203249,0.8425372296939871,0.8926365951493557,0.8404638721298348,0.5986156857243632,0.8794013136642619,0.9092140192948039,0.8425372296939871
"GBClassifier(learning_rate=0.05, subsample=0.8, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9051444804474233,0.8429700399147203,0.8927805262466617,0.8411089691123054,0.6004903128326683,0.8807497948430009,0.9091832851382765,0.8429700399147203
"GBClassifier(learning_rate=0.05, min_samples_split=10, max_depth=1, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9062763549203249,0.8425372296939871,0.8926365951493557,0.8404638721298348,0.5986156857243632,0.8794013136642619,0.9092140192948039,0.8425372296939871
"GBClassifier(learning_rate=0.05, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.91184695281637,0.8609877691037623,0.904539650389679,0.8600531022334083,0.6492366999397049,0.8973485344865243,0.9349868718189549,0.8609877691037623
"GBClassifier(learning_rate=0.05, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9112921123884771,0.8601702386868217,0.9039793054103142,0.859228733140363,0.6471657328603521,0.8967829296525215,0.9349984848773077,0.8601702386868217
